day;region;team;elo
31;LCS;Dignitas;2498.2
31;LCS;100 Thieves;2446.6
31;LCS;Golden Guardians;2403.6
31;LCS;Immortals;2451.8
31;LCS;FlyQuest;2496.4
31;LCS;Evil Geniuses;2455.2
31;LCS;Team SoloMid;2398.3
32;LCS;Cloud9;2518.2
32;LCS;Team Liquid;2428.4
32;LCS;Counter Logic Gaming;2381.7
32;LCS;Dignitas;2519.7
32;LCS;100 Thieves;2468.5
32;LCS;Golden Guardians;2403.6
32;LCS;Immortals;2430.0
32;LCS;FlyQuest;2496.4
32;LCS;Evil Geniuses;2455.2
32;LCS;Team SoloMid;2398.3
33;LCS;Cloud9;2539.6
33;LCS;Team Liquid;2458.2
33;LCS;Counter Logic Gaming;2381.7
33;LCS;Dignitas;2519.7
33;LCS;100 Thieves;2447.1
33;LCS;Golden Guardians;2407.1
33;LCS;Immortals;2455.2
33;LCS;FlyQuest;2466.6
33;LCS;Evil Geniuses;2399.5
33;LCS;Team SoloMid;2425.3
34;LCS;Cloud9;2539.6
34;LCS;Team Liquid;2458.2
34;LCS;Counter Logic Gaming;2381.7
34;LCS;Dignitas;2519.7
34;LCS;100 Thieves;2447.1
34;LCS;Golden Guardians;2407.1
34;LCS;Immortals;2455.2
34;LCS;FlyQuest;2466.6
34;LCS;Evil Geniuses;2399.5
34;LCS;Team SoloMid;2425.3
35;LCS;Cloud9;2539.6
35;LCS;Team Liquid;2458.2
35;LCS;Counter Logic Gaming;2359.8
35;LCS;Dignitas;2490.9
35;LCS;100 Thieves;2447.1
35;LCS;Golden Guardians;2407.1
35;LCS;Immortals;2455.2
35;LCS;FlyQuest;2495.4
35;LCS;Evil Geniuses;2399.5
35;LCS;Team SoloMid;2447.2
36;LCS;Cloud9;2539.6
36;LCS;Team Liquid;2458.2
36;LCS;Counter Logic Gaming;2359.8
36;LCS;Dignitas;2490.9
36;LCS;100 Thieves;2447.1
36;LCS;Golden Guardians;2407.1
36;LCS;Immortals;2455.2
36;LCS;FlyQuest;2495.4
36;LCS;Evil Geniuses;2399.5
36;LCS;Team SoloMid;2447.2
37;LCS;Cloud9;2539.6
37;LCS;Team Liquid;2458.2
37;LCS;Counter Logic Gaming;2359.8
37;LCS;Dignitas;2490.9
37;LCS;100 Thieves;2447.1
37;LCS;Golden Guardians;2407.1
37;LCS;Immortals;2455.2
37;LCS;FlyQuest;2495.4
37;LCS;Evil Geniuses;2399.5
37;LCS;Team SoloMid;2447.2
38;LCS;Cloud9;2539.6
38;LCS;Team Liquid;2458.2
38;LCS;Counter Logic Gaming;2359.8
38;LCS;Dignitas;2490.9
38;LCS;100 Thieves;2447.1
38;LCS;Golden Guardians;2407.1
38;LCS;Immortals;2455.2
38;LCS;FlyQuest;2495.4
38;LCS;Evil Geniuses;2399.5
38;LCS;Team SoloMid;2447.2
39;LCS;Cloud9;2539.6
39;LCS;Team Liquid;2432.4
39;LCS;Counter Logic Gaming;2387.6
39;LCS;Dignitas;2462.8
39;LCS;100 Thieves;2472.9
39;LCS;Golden Guardians;2407.1
39;LCS;Immortals;2455.2
39;LCS;FlyQuest;2495.4
39;LCS;Evil Geniuses;2371.7
39;LCS;Team SoloMid;2475.3
40;LCS;Cloud9;2579.5
40;LCS;Team Liquid;2432.4
40;LCS;Counter Logic Gaming;2387.6
40;LCS;Dignitas;2444.7
40;LCS;100 Thieves;2446.6
40;LCS;Golden Guardians;2386.9
40;LCS;Immortals;2481.5
40;LCS;FlyQuest;2441.5
40;LCS;Evil Geniuses;2403.8
40;LCS;Team SoloMid;2495.5
41;LCS;Cloud9;2579.5
41;LCS;Team Liquid;2432.4
41;LCS;Counter Logic Gaming;2387.6
41;LCS;Dignitas;2444.7
41;LCS;100 Thieves;2446.6
41;LCS;Golden Guardians;2386.9
41;LCS;Immortals;2481.5
41;LCS;FlyQuest;2441.5
41;LCS;Evil Geniuses;2403.8
41;LCS;Team SoloMid;2495.5
42;LCS;Cloud9;2579.5
42;LCS;Team Liquid;2404.1
42;LCS;Counter Logic Gaming;2369.2
42;LCS;Dignitas;2444.7
42;LCS;100 Thieves;2446.6
42;LCS;Golden Guardians;2415.2
42;LCS;Immortals;2499.9
42;LCS;FlyQuest;2441.5
42;LCS;Evil Geniuses;2403.8
42;LCS;Team SoloMid;2495.5
43;LCS;Cloud9;2579.5
43;LCS;Team Liquid;2404.1
43;LCS;Counter Logic Gaming;2369.2
43;LCS;Dignitas;2444.7
43;LCS;100 Thieves;2446.6
43;LCS;Golden Guardians;2415.2
43;LCS;Immortals;2499.9
43;LCS;FlyQuest;2441.5
43;LCS;Evil Geniuses;2403.8
43;LCS;Team SoloMid;2495.5
44;LCS;Cloud9;2579.5
44;LCS;Team Liquid;2404.1
44;LCS;Counter Logic Gaming;2369.2
44;LCS;Dignitas;2444.7
44;LCS;100 Thieves;2446.6
44;LCS;Golden Guardians;2415.2
44;LCS;Immortals;2499.9
44;LCS;FlyQuest;2441.5
44;LCS;Evil Geniuses;2403.8
44;LCS;Team SoloMid;2495.5
45;LCS;Cloud9;2579.5
45;LCS;Team Liquid;2404.1
45;LCS;Counter Logic Gaming;2369.2
45;LCS;Dignitas;2444.7
45;LCS;100 Thieves;2446.6
45;LCS;Golden Guardians;2415.2
45;LCS;Immortals;2499.9
45;LCS;FlyQuest;2441.5
45;LCS;Evil Geniuses;2403.8
45;LCS;Team SoloMid;2495.5
46;LCS;Cloud9;2598.6
46;LCS;Team Liquid;2385.8
46;LCS;Counter Logic Gaming;2347.5
46;LCS;Dignitas;2444.7
46;LCS;100 Thieves;2446.6
46;LCS;Golden Guardians;2436.9
46;LCS;Immortals;2518.2
46;LCS;FlyQuest;2441.5
46;LCS;Evil Geniuses;2403.8
46;LCS;Team SoloMid;2476.4
47;LCS;Cloud9;2598.6
47;LCS;Team Liquid;2408.1
47;LCS;Counter Logic Gaming;2325.2
47;LCS;Dignitas;2442.4
47;LCS;100 Thieves;2421.5
47;LCS;Golden Guardians;2464.3
47;LCS;Immortals;2485.3
47;LCS;FlyQuest;2469.0
47;LCS;Evil Geniuses;2436.7
47;LCS;Team SoloMid;2448.9
48;LCS;Cloud9;2598.6
48;LCS;Team Liquid;2408.1
48;LCS;Counter Logic Gaming;2325.2
48;LCS;Dignitas;2442.4
48;LCS;100 Thieves;2421.5
48;LCS;Golden Guardians;2464.3
48;LCS;Immortals;2485.3
48;LCS;FlyQuest;2469.0
48;LCS;Evil Geniuses;2436.7
48;LCS;Team SoloMid;2448.9
49;LCS;Cloud9;2612.7
49;LCS;Team Liquid;2408.1
49;LCS;Counter Logic Gaming;2325.2
49;LCS;Dignitas;2442.4
49;LCS;100 Thieves;2399.9
49;LCS;Golden Guardians;2464.3
49;LCS;Immortals;2485.3
49;LCS;FlyQuest;2490.6
49;LCS;Evil Geniuses;2422.6
49;LCS;Team SoloMid;2448.9
50;LCS;Cloud9;2612.7
50;LCS;Team Liquid;2408.1
50;LCS;Counter Logic Gaming;2325.2
50;LCS;Dignitas;2442.4
50;LCS;100 Thieves;2399.9
50;LCS;Golden Guardians;2464.3
50;LCS;Immortals;2485.3
50;LCS;FlyQuest;2490.6
50;LCS;Evil Geniuses;2422.6
50;LCS;Team SoloMid;2448.9
51;LCS;Cloud9;2612.7
51;LCS;Team Liquid;2408.1
51;LCS;Counter Logic Gaming;2325.2
51;LCS;Dignitas;2442.4
51;LCS;100 Thieves;2399.9
51;LCS;Golden Guardians;2464.3
51;LCS;Immortals;2485.3
51;LCS;FlyQuest;2490.6
51;LCS;Evil Geniuses;2422.6
51;LCS;Team SoloMid;2448.9
52;LCS;Cloud9;2612.7
52;LCS;Team Liquid;2408.1
52;LCS;Counter Logic Gaming;2325.2
52;LCS;Dignitas;2442.4
52;LCS;100 Thieves;2399.9
52;LCS;Golden Guardians;2464.3
52;LCS;Immortals;2485.3
52;LCS;FlyQuest;2490.6
52;LCS;Evil Geniuses;2422.6
52;LCS;Team SoloMid;2448.9
53;LCS;Cloud9;2620.7
53;LCS;Team Liquid;2408.1
53;LCS;Counter Logic Gaming;2317.2
53;LCS;Dignitas;2470.5
53;LCS;100 Thieves;2378.4
53;LCS;Golden Guardians;2464.3
53;LCS;Immortals;2457.2
53;LCS;FlyQuest;2490.6
53;LCS;Evil Geniuses;2422.6
53;LCS;Team SoloMid;2470.4
54;LCS;Cloud9;2634.7
54;LCS;Team Liquid;2384.1
54;LCS;Counter Logic Gaming;2305.0
54;LCS;Dignitas;2470.5
54;LCS;100 Thieves;2407.9
54;LCS;Golden Guardians;2411.7
54;LCS;Immortals;2443.2
54;LCS;FlyQuest;2525.9
54;LCS;Evil Geniuses;2446.6
54;LCS;Team SoloMid;2470.4
55;LCS;Cloud9;2634.7
55;LCS;Team Liquid;2384.1
55;LCS;Counter Logic Gaming;2305.0
55;LCS;Dignitas;2470.5
55;LCS;100 Thieves;2407.9
55;LCS;Golden Guardians;2411.7
55;LCS;Immortals;2443.2
55;LCS;FlyQuest;2525.9
55;LCS;Evil Geniuses;2446.6
55;LCS;Team SoloMid;2470.4
56;LCS;Cloud9;2634.7
56;LCS;Team Liquid;2415.2
56;LCS;Counter Logic Gaming;2305.0
56;LCS;Dignitas;2439.4
56;LCS;100 Thieves;2407.9
56;LCS;Golden Guardians;2411.7
56;LCS;Immortals;2443.2
56;LCS;FlyQuest;2525.9
56;LCS;Evil Geniuses;2423.3
56;LCS;Team SoloMid;2493.7
57;LCS;Cloud9;2634.7
57;LCS;Team Liquid;2415.2
57;LCS;Counter Logic Gaming;2305.0
57;LCS;Dignitas;2439.4
57;LCS;100 Thieves;2407.9
57;LCS;Golden Guardians;2411.7
57;LCS;Immortals;2443.2
57;LCS;FlyQuest;2525.9
57;LCS;Evil Geniuses;2423.3
57;LCS;Team SoloMid;2493.7
58;LCS;Cloud9;2634.7
58;LCS;Team Liquid;2415.2
58;LCS;Counter Logic Gaming;2305.0
58;LCS;Dignitas;2439.4
58;LCS;100 Thieves;2407.9
58;LCS;Golden Guardians;2411.7
58;LCS;Immortals;2443.2
58;LCS;FlyQuest;2525.9
58;LCS;Evil Geniuses;2423.3
58;LCS;Team SoloMid;2493.7
59;LCS;Cloud9;2634.7
59;LCS;Team Liquid;2415.2
59;LCS;Counter Logic Gaming;2305.0
59;LCS;Dignitas;2439.4
59;LCS;100 Thieves;2407.9
59;LCS;Golden Guardians;2411.7
59;LCS;Immortals;2443.2
59;LCS;FlyQuest;2525.9
59;LCS;Evil Geniuses;2423.3
59;LCS;Team SoloMid;2493.7
60;LCS;Cloud9;2652.1
60;LCS;Team Liquid;2445.8
60;LCS;Counter Logic Gaming;2305.0
60;LCS;Dignitas;2439.4
60;LCS;100 Thieves;2407.9
60;LCS;Golden Guardians;2439.0
60;LCS;Immortals;2415.9
60;LCS;FlyQuest;2508.5
60;LCS;Evil Geniuses;2423.3
60;LCS;Team SoloMid;2463.1
61;LCS;Cloud9;2652.1
61;LCS;Team Liquid;2470.0
61;LCS;Counter Logic Gaming;2340.7
61;LCS;Dignitas;2419.3
61;LCS;100 Thieves;2409.8
61;LCS;Golden Guardians;2411.0
61;LCS;Immortals;2415.9
61;LCS;FlyQuest;2528.6
61;LCS;Evil Geniuses;2425.2
61;LCS;Team SoloMid;2427.4
62;LCS;Cloud9;2652.1
62;LCS;Team Liquid;2470.0
62;LCS;Counter Logic Gaming;2340.7
62;LCS;Dignitas;2419.3
62;LCS;100 Thieves;2409.8
62;LCS;Golden Guardians;2411.0
62;LCS;Immortals;2415.9
62;LCS;FlyQuest;2528.6
62;LCS;Evil Geniuses;2425.2
62;LCS;Team SoloMid;2427.4
63;LCS;Cloud9;2662.5
63;LCS;Team Liquid;2470.0
63;LCS;Counter Logic Gaming;2321.0
63;LCS;Dignitas;2408.9
63;LCS;100 Thieves;2409.8
63;LCS;Golden Guardians;2411.0
63;LCS;Immortals;2435.6
63;LCS;FlyQuest;2528.6
63;LCS;Evil Geniuses;2425.2
63;LCS;Team SoloMid;2427.4
64;LCS;Cloud9;2662.5
64;LCS;Team Liquid;2470.0
64;LCS;Counter Logic Gaming;2321.0
64;LCS;Dignitas;2408.9
64;LCS;100 Thieves;2409.8
64;LCS;Golden Guardians;2411.0
64;LCS;Immortals;2435.6
64;LCS;FlyQuest;2528.6
64;LCS;Evil Geniuses;2425.2
64;LCS;Team SoloMid;2427.4
65;LCS;Cloud9;2662.5
65;LCS;Team Liquid;2470.0
65;LCS;Counter Logic Gaming;2321.0
65;LCS;Dignitas;2408.9
65;LCS;100 Thieves;2409.8
65;LCS;Golden Guardians;2411.0
65;LCS;Immortals;2435.6
65;LCS;FlyQuest;2528.6
65;LCS;Evil Geniuses;2425.2
65;LCS;Team SoloMid;2427.4
66;LCS;Cloud9;2662.5
66;LCS;Team Liquid;2470.0
66;LCS;Counter Logic Gaming;2321.0
66;LCS;Dignitas;2408.9
66;LCS;100 Thieves;2409.8
66;LCS;Golden Guardians;2411.0
66;LCS;Immortals;2435.6
66;LCS;FlyQuest;2528.6
66;LCS;Evil Geniuses;2425.2
66;LCS;Team SoloMid;2427.4
67;LCS;Cloud9;2622.8
67;LCS;Team Liquid;2434.9
67;LCS;Counter Logic Gaming;2356.1
67;LCS;Dignitas;2384.0
67;LCS;100 Thieves;2434.7
67;LCS;Golden Guardians;2411.0
67;LCS;Immortals;2435.6
67;LCS;FlyQuest;2528.6
67;LCS;Evil Geniuses;2425.2
67;LCS;Team SoloMid;2467.1
68;LCS;Cloud9;2622.8
68;LCS;Team Liquid;2434.9
68;LCS;Counter Logic Gaming;2338.2
68;LCS;Dignitas;2360.9
68;LCS;100 Thieves;2459.8
68;LCS;Golden Guardians;2434.1
68;LCS;Immortals;2410.5
68;LCS;FlyQuest;2469.3
68;LCS;Evil Geniuses;2475.3
68;LCS;Team SoloMid;2494.2
69;LCS;Cloud9;2622.8
69;LCS;Team Liquid;2408.1
69;LCS;Counter Logic Gaming;2338.2
69;LCS;Dignitas;2360.9
69;LCS;100 Thieves;2459.8
69;LCS;Golden Guardians;2434.1
69;LCS;Immortals;2437.3
69;LCS;FlyQuest;2469.3
69;LCS;Evil Geniuses;2475.3
69;LCS;Team SoloMid;2494.2
70;LCS;Cloud9;2635.4
70;LCS;Team Liquid;2408.1
70;LCS;Counter Logic Gaming;2338.2
70;LCS;Dignitas;2360.9
70;LCS;100 Thieves;2459.8
70;LCS;Golden Guardians;2421.5
70;LCS;Immortals;2437.3
70;LCS;FlyQuest;2469.3
70;LCS;Evil Geniuses;2475.3
70;LCS;Team SoloMid;2494.2
71;LCS;Cloud9;2635.4
71;LCS;Team Liquid;2408.1
71;LCS;Counter Logic Gaming;2338.2
71;LCS;Dignitas;2360.9
71;LCS;100 Thieves;2459.8
71;LCS;Golden Guardians;2421.5
71;LCS;Immortals;2437.3
71;LCS;FlyQuest;2469.3
71;LCS;Evil Geniuses;2475.3
71;LCS;Team SoloMid;2494.2
72;LCS;Cloud9;2635.4
72;LCS;Team Liquid;2408.1
72;LCS;Counter Logic Gaming;2338.2
72;LCS;Dignitas;2360.9
72;LCS;100 Thieves;2459.8
72;LCS;Golden Guardians;2421.5
72;LCS;Immortals;2437.3
72;LCS;FlyQuest;2469.3
72;LCS;Evil Geniuses;2475.3
72;LCS;Team SoloMid;2494.2
73;LCS;Cloud9;2635.4
73;LCS;Team Liquid;2408.1
73;LCS;Counter Logic Gaming;2338.2
73;LCS;Dignitas;2360.9
73;LCS;100 Thieves;2459.8
73;LCS;Golden Guardians;2421.5
73;LCS;Immortals;2437.3
73;LCS;FlyQuest;2469.3
73;LCS;Evil Geniuses;2475.3
73;LCS;Team SoloMid;2494.2
74;LCS;Cloud9;2635.4
74;LCS;Team Liquid;2408.1
74;LCS;Counter Logic Gaming;2338.2
74;LCS;Dignitas;2360.9
74;LCS;100 Thieves;2459.8
74;LCS;Golden Guardians;2421.5
74;LCS;Immortals;2437.3
74;LCS;FlyQuest;2469.3
74;LCS;Evil Geniuses;2475.3
74;LCS;Team SoloMid;2494.2
75;LCS;Cloud9;2635.4
75;LCS;Team Liquid;2408.1
75;LCS;Counter Logic Gaming;2338.2
75;LCS;Dignitas;2360.9
75;LCS;100 Thieves;2459.8
75;LCS;Golden Guardians;2421.5
75;LCS;Immortals;2437.3
75;LCS;FlyQuest;2469.3
75;LCS;Evil Geniuses;2475.3
75;LCS;Team SoloMid;2494.2
76;LCS;Cloud9;2635.4
76;LCS;Team Liquid;2408.1
76;LCS;Counter Logic Gaming;2338.2
76;LCS;Dignitas;2360.9
76;LCS;100 Thieves;2459.8
76;LCS;Golden Guardians;2421.5
76;LCS;Immortals;2437.3
76;LCS;FlyQuest;2469.3
76;LCS;Evil Geniuses;2475.3
76;LCS;Team SoloMid;2494.2
77;LCS;Cloud9;2635.4
77;LCS;Team Liquid;2408.1
77;LCS;Counter Logic Gaming;2338.2
77;LCS;Dignitas;2360.9
77;LCS;100 Thieves;2459.8
77;LCS;Golden Guardians;2421.5
77;LCS;Immortals;2437.3
77;LCS;FlyQuest;2469.3
77;LCS;Evil Geniuses;2475.3
77;LCS;Team SoloMid;2494.2
78;LCS;Cloud9;2635.4
78;LCS;Team Liquid;2408.1
78;LCS;Counter Logic Gaming;2338.2
78;LCS;Dignitas;2360.9
78;LCS;100 Thieves;2459.8
78;LCS;Golden Guardians;2421.5
78;LCS;Immortals;2437.3
78;LCS;FlyQuest;2469.3
78;LCS;Evil Geniuses;2475.3
78;LCS;Team SoloMid;2494.2
79;LCS;Cloud9;2635.4
79;LCS;Team Liquid;2408.1
79;LCS;Counter Logic Gaming;2338.2
79;LCS;Dignitas;2360.9
79;LCS;100 Thieves;2459.8
79;LCS;Golden Guardians;2421.5
79;LCS;Immortals;2437.3
79;LCS;FlyQuest;2469.3
79;LCS;Evil Geniuses;2475.3
79;LCS;Team SoloMid;2494.2
80;LCS;Cloud9;2635.4
80;LCS;Team Liquid;2408.1
80;LCS;Counter Logic Gaming;2338.2
80;LCS;Dignitas;2360.9
80;LCS;100 Thieves;2459.8
80;LCS;Golden Guardians;2421.5
80;LCS;Immortals;2437.3
80;LCS;FlyQuest;2469.3
80;LCS;Evil Geniuses;2475.3
80;LCS;Team SoloMid;2494.2
81;LCS;Cloud9;2648.7
81;LCS;Team Liquid;2387.9
81;LCS;Counter Logic Gaming;2338.2
81;LCS;Dignitas;2360.9
81;LCS;100 Thieves;2446.5
81;LCS;Golden Guardians;2401.7
81;LCS;Immortals;2437.3
81;LCS;FlyQuest;2469.3
81;LCS;Evil Geniuses;2495.5
81;LCS;Team SoloMid;2514.0
82;LCS;Cloud9;2655.1
82;LCS;Team Liquid;2413.9
82;LCS;Counter Logic Gaming;2308.4
82;LCS;Dignitas;2367.0
82;LCS;100 Thieves;2474.8
82;LCS;Golden Guardians;2375.7
82;LCS;Immortals;2446.6
82;LCS;FlyQuest;2463.7
82;LCS;Evil Geniuses;2512.8
82;LCS;Team SoloMid;2482.0
83;LCS;Cloud9;2655.1
83;LCS;Team Liquid;2413.9
83;LCS;Counter Logic Gaming;2308.4
83;LCS;Dignitas;2367.0
83;LCS;100 Thieves;2474.8
83;LCS;Golden Guardians;2375.7
83;LCS;Immortals;2446.6
83;LCS;FlyQuest;2463.7
83;LCS;Evil Geniuses;2512.8
83;LCS;Team SoloMid;2482.0
84;LCS;Cloud9;2655.1
84;LCS;Team Liquid;2413.9
84;LCS;Counter Logic Gaming;2308.4
84;LCS;Dignitas;2367.0
84;LCS;100 Thieves;2474.8
84;LCS;Golden Guardians;2375.7
84;LCS;Immortals;2446.6
84;LCS;FlyQuest;2463.7
84;LCS;Evil Geniuses;2512.8
84;LCS;Team SoloMid;2482.0
85;LCS;Cloud9;2655.1
85;LCS;Team Liquid;2413.9
85;LCS;Counter Logic Gaming;2308.4
85;LCS;Dignitas;2367.0
85;LCS;100 Thieves;2474.8
85;LCS;Golden Guardians;2375.7
85;LCS;Immortals;2446.6
85;LCS;FlyQuest;2463.7
85;LCS;Evil Geniuses;2512.8
85;LCS;Team SoloMid;2482.0
86;LCS;Cloud9;2655.1
86;LCS;Team Liquid;2413.9
86;LCS;Counter Logic Gaming;2308.4
86;LCS;Dignitas;2367.0
86;LCS;100 Thieves;2474.8
86;LCS;Golden Guardians;2375.7
86;LCS;Immortals;2446.6
86;LCS;FlyQuest;2463.7
86;LCS;Evil Geniuses;2512.8
86;LCS;Team SoloMid;2482.0
87;LCS;Cloud9;2655.1
87;LCS;Team Liquid;2413.9
87;LCS;Counter Logic Gaming;2308.4
87;LCS;Dignitas;2367.0
87;LCS;100 Thieves;2474.8
87;LCS;Golden Guardians;2375.7
87;LCS;Immortals;2446.6
87;LCS;FlyQuest;2463.7
87;LCS;Evil Geniuses;2512.8
87;LCS;Team SoloMid;2482.0
88;LCS;Cloud9;2670.4
88;LCS;Team Liquid;2392.5
88;LCS;Counter Logic Gaming;2288.2
88;LCS;Dignitas;2367.0
88;LCS;100 Thieves;2500.3
88;LCS;Golden Guardians;2395.9
88;LCS;Immortals;2446.6
88;LCS;FlyQuest;2485.1
88;LCS;Evil Geniuses;2497.5
88;LCS;Team SoloMid;2456.5
89;LCS;Cloud9;2678.8
89;LCS;Team Liquid;2384.1
89;LCS;Counter Logic Gaming;2276.8
89;LCS;Dignitas;2426.8
89;LCS;100 Thieves;2511.7
89;LCS;Golden Guardians;2427.2
89;LCS;Immortals;2396.8
89;LCS;FlyQuest;2453.8
89;LCS;Evil Geniuses;2516.7
89;LCS;Team SoloMid;2427.3
90;LCS;Cloud9;2678.8
90;LCS;Team Liquid;2384.1
90;LCS;Counter Logic Gaming;2276.8
90;LCS;Dignitas;2423.0
90;LCS;100 Thieves;2506.5
90;LCS;Golden Guardians;2453.8
90;LCS;Immortals;2374.0
90;LCS;FlyQuest;2432.9
90;LCS;Evil Geniuses;2542.8
90;LCS;Team SoloMid;2427.3
91;LCS;Cloud9;2678.8
91;LCS;Team Liquid;2384.1
91;LCS;Counter Logic Gaming;2276.8
91;LCS;Dignitas;2423.0
91;LCS;100 Thieves;2506.5
91;LCS;Golden Guardians;2453.8
91;LCS;Immortals;2374.0
91;LCS;FlyQuest;2432.9
91;LCS;Evil Geniuses;2542.8
91;LCS;Team SoloMid;2427.3
92;LCS;Cloud9;2678.8
92;LCS;Team Liquid;2384.1
92;LCS;Counter Logic Gaming;2276.8
92;LCS;Dignitas;2423.0
92;LCS;100 Thieves;2506.5
92;LCS;Golden Guardians;2453.8
92;LCS;Immortals;2374.0
92;LCS;FlyQuest;2432.9
92;LCS;Evil Geniuses;2542.8
92;LCS;Team SoloMid;2427.3
93;LCS;Cloud9;2678.8
93;LCS;Team Liquid;2384.1
93;LCS;Counter Logic Gaming;2276.8
93;LCS;Dignitas;2423.0
93;LCS;100 Thieves;2506.5
93;LCS;Golden Guardians;2453.8
93;LCS;Immortals;2374.0
93;LCS;FlyQuest;2432.9
93;LCS;Evil Geniuses;2542.8
93;LCS;Team SoloMid;2427.3
94;LCS;Cloud9;2678.8
94;LCS;Team Liquid;2384.1
94;LCS;Counter Logic Gaming;2276.8
94;LCS;Dignitas;2423.0
94;LCS;100 Thieves;2506.5
94;LCS;Golden Guardians;2453.8
94;LCS;Immortals;2374.0
94;LCS;FlyQuest;2432.9
94;LCS;Evil Geniuses;2542.8
94;LCS;Team SoloMid;2427.3
95;LCS;Cloud9;2678.8
95;LCS;Team Liquid;2384.1
95;LCS;Counter Logic Gaming;2276.8
95;LCS;Dignitas;2423.0
95;LCS;100 Thieves;2506.5
95;LCS;Golden Guardians;2453.8
95;LCS;Immortals;2374.0
95;LCS;FlyQuest;2414.2
95;LCS;Evil Geniuses;2561.5
95;LCS;Team SoloMid;2427.3
96;LCS;Cloud9;2733.5
96;LCS;Team Liquid;2384.1
96;LCS;Counter Logic Gaming;2276.8
96;LCS;Dignitas;2423.0
96;LCS;100 Thieves;2451.8
96;LCS;Golden Guardians;2453.8
96;LCS;Immortals;2374.0
96;LCS;FlyQuest;2414.2
96;LCS;Evil Geniuses;2561.5
96;LCS;Team SoloMid;2427.3
97;LCS;Cloud9;2733.5
97;LCS;Team Liquid;2384.1
97;LCS;Counter Logic Gaming;2276.8
97;LCS;Dignitas;2423.0
97;LCS;100 Thieves;2451.8
97;LCS;Golden Guardians;2453.8
97;LCS;Immortals;2374.0
97;LCS;FlyQuest;2414.2
97;LCS;Evil Geniuses;2561.5
97;LCS;Team SoloMid;2427.3
98;LCS;Cloud9;2733.5
98;LCS;Team Liquid;2384.1
98;LCS;Counter Logic Gaming;2276.8
98;LCS;Dignitas;2423.0
98;LCS;100 Thieves;2451.8
98;LCS;Golden Guardians;2348.0
98;LCS;Immortals;2374.0
98;LCS;FlyQuest;2520.0
98;LCS;Evil Geniuses;2561.5
98;LCS;Team SoloMid;2427.3
99;LCS;Cloud9;2733.5
99;LCS;Team Liquid;2384.1
99;LCS;Counter Logic Gaming;2276.8
99;LCS;Dignitas;2423.0
99;LCS;100 Thieves;2400.2
99;LCS;Golden Guardians;2348.0
99;LCS;Immortals;2374.0
99;LCS;FlyQuest;2520.0
99;LCS;Evil Geniuses;2561.5
99;LCS;Team SoloMid;2478.9
100;LCS;Cloud9;2733.5
100;LCS;Team Liquid;2384.1
100;LCS;Counter Logic Gaming;2276.8
100;LCS;Dignitas;2423.0
100;LCS;100 Thieves;2400.2
100;LCS;Golden Guardians;2348.0
100;LCS;Immortals;2374.0
100;LCS;FlyQuest;2520.0
100;LCS;Evil Geniuses;2561.5
100;LCS;Team SoloMid;2478.9
101;LCS;Cloud9;2733.5
101;LCS;Team Liquid;2384.1
101;LCS;Counter Logic Gaming;2276.8
101;LCS;Dignitas;2423.0
101;LCS;100 Thieves;2400.2
101;LCS;Golden Guardians;2348.0
101;LCS;Immortals;2374.0
101;LCS;FlyQuest;2520.0
101;LCS;Evil Geniuses;2561.5
101;LCS;Team SoloMid;2478.9
102;LCS;Cloud9;2734.9
102;LCS;Team Liquid;2384.1
102;LCS;Counter Logic Gaming;2276.8
102;LCS;Dignitas;2423.0
102;LCS;100 Thieves;2400.2
102;LCS;Golden Guardians;2348.0
102;LCS;Immortals;2374.0
102;LCS;FlyQuest;2520.0
102;LCS;Evil Geniuses;2560.1
102;LCS;Team SoloMid;2478.9
103;LCS;Cloud9;2734.9
103;LCS;Team Liquid;2384.1
103;LCS;Counter Logic Gaming;2276.8
103;LCS;Dignitas;2423.0
103;LCS;100 Thieves;2400.2
103;LCS;Golden Guardians;2348.0
103;LCS;Immortals;2374.0
103;LCS;FlyQuest;2542.4
103;LCS;Evil Geniuses;2560.1
103;LCS;Team SoloMid;2456.5
104;LCS;Cloud9;2734.9
104;LCS;Team Liquid;2384.1
104;LCS;Counter Logic Gaming;2276.8
104;LCS;Dignitas;2423.0
104;LCS;100 Thieves;2400.2
104;LCS;Golden Guardians;2348.0
104;LCS;Immortals;2374.0
104;LCS;FlyQuest;2542.4
104;LCS;Evil Geniuses;2560.1
104;LCS;Team SoloMid;2456.5
105;LCS;Cloud9;2734.9
105;LCS;Team Liquid;2384.1
105;LCS;Counter Logic Gaming;2276.8
105;LCS;Dignitas;2423.0
105;LCS;100 Thieves;2400.2
105;LCS;Golden Guardians;2348.0
105;LCS;Immortals;2374.0
105;LCS;FlyQuest;2542.4
105;LCS;Evil Geniuses;2560.1
105;LCS;Team SoloMid;2456.5
106;LCS;Cloud9;2734.9
106;LCS;Team Liquid;2384.1
106;LCS;Counter Logic Gaming;2276.8
106;LCS;Dignitas;2423.0
106;LCS;100 Thieves;2400.2
106;LCS;Golden Guardians;2348.0
106;LCS;Immortals;2374.0
106;LCS;FlyQuest;2542.4
106;LCS;Evil Geniuses;2560.1
106;LCS;Team SoloMid;2456.5
107;LCS;Cloud9;2734.9
107;LCS;Team Liquid;2384.1
107;LCS;Counter Logic Gaming;2276.8
